Name,Meal,Price
甲一飯包,招牌飯,65
甲一飯包,叉燒飯,70
甲一飯包,爌肉飯,70
甲一飯包,炸排骨飯,70
甲一飯包,滷排骨飯,70
甲一飯包,藍帶豬排,70
甲一飯包,辣腿排飯,75
甲一飯包,黃金炸魚飯,75
甲一飯包,黑胡椒牛柳燴飯,75
甲一飯包,宮保雞丁燴飯,75
甲一飯包,咖哩雞肉燴飯,75
甲一飯包,炸雞排飯,80
甲一飯包,清蒸魚飯,80
甲一飯包,加拿大鯖魚飯,90
甲一飯包,炸雞腿飯,90
甲一飯包,烤雞飯,90
阜茗餐坊,東坡控肉飯,80
阜茗餐坊,辣味雞柳飯,80
阜茗餐坊,黑胡椒雞柳飯,80
阜茗餐坊,醬燒排骨飯,85
阜茗餐坊,黑胡椒豬柳飯,90
阜茗餐坊,黃金鮮魚飯,90
阜茗餐坊,宮保雞丁飯,90
阜茗餐坊,藍帶豬排飯,95
阜茗餐坊,泡菜豬排飯,95
阜茗餐坊,檸檬雞腿飯,110
阜茗餐坊,黑胡椒雞腿飯,110
阜茗餐坊,貴妃牛腩飯,120
蘇記食堂,豪邁雙雞飯,130
蘇記食堂,嫩煎鮭魚飯,120
蘇記食堂,東坡肉飯,120
蘇記食堂,泰式椒麻雞飯,90
蘇記食堂,香酥雞排飯,90
蘇記食堂,酥炸雞腿飯,90
蘇記食堂,海味雙拼飯,90
蘇記食堂,宮保雞丁飯,85
蘇記食堂,三杯雞丁飯,85
蘇記食堂,泰式紅咖哩飯,85
蘇記食堂,蒜蓉豬排飯,80
蘇記食堂,嫩煎鯖魚飯,80
三哥腿庫飯,每日特餐,70
三哥腿庫飯,蝦捲飯,70
三哥腿庫飯,鮮魚飯,70
三哥腿庫飯,排骨飯,70
三哥腿庫飯,滷排骨飯,70
三哥腿庫飯,梅干扣肉飯,70
三哥腿庫飯,咔啦雞飯,70
三哥腿庫飯,雞腿飯,75
三哥腿庫飯,腿庫飯,75
